orderId,shouldCurId,movieName,rateValue(x/10),评价人数,短评数量,5星占比,4星占比,3星占比,2星占比,1星占比,description,额外信息
48,25907124,姜子牙,6.6,611220,250345, 9.5%, 29.2%, 46.6%, 12.4%, 2.2%,"导演: 程腾 / 李炜
主演: 郑希 / 杨凝 / 图特哈蒙
类型: 剧情 / 动画 / 奇幻
制片国家/地区: 中国大陆
年份: 2020","16.02"
49,26654184,万里归途,7.2,462610,169188, 14.6%, 41.2%, 36.3%, 5.9%, 2.0%,"导演: 饶晓志
主演: 张译 / 王俊凯 / 殷桃
类型: 剧情 / 战争
制片国家/地区: 中国大陆
年份: 2022","15.93"
50,30166972,少年的你,8.2,1488302,495181, 33.8%, 46.6%, 16.2%, 2.1%, 1.3%,"导演: 曾国祥
主演: 周冬雨 / 易烊千玺 / 尹昉
类型: 剧情 / 爱情 / 犯罪
制片国家/地区: 中国大陆/中国香港
年份: 2019","15.58"
51,25824686,变形金刚5：最后的骑士 Transformers: The Last Knight,4.9,256149,83068, 4.0%, 8.6%, 34.9%, 34.4%, 18.2%,"导演: 迈克尔·贝
主演: 马克·沃尔伯格 / 安东尼·霍普金斯 / 乔什·杜哈明
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国/中国大陆/加拿大
年份: 2017","15.51"
52,25662329,疯狂动物城 Zootopia,9.2,2013445,405177, 66.6%, 28.8%, 4.4%, 0.2%, 0.1%,"导演: 拜伦·霍华德 / 瑞奇·摩尔 / 杰拉德·布什
主演: 金妮弗·古德温 / 杰森·贝特曼 / 伊德里斯·艾尔巴
类型: 喜剧 / 动画 / 冒险
制片国家/地区: 美国
年份: 2016","15.31"
53,36123159,熊出没·伴我“熊芯”,7.1,61932,28031, 13.1%, 36.9%, 43.3%, 5.3%, 1.4%,"导演: 林永长 / 邵和麒
主演: 张秉君 / 谭笑 / 张伟
类型: 喜剧 / 科幻 / 动画
制片国家/地区: 中国大陆
年份: 2023","14,95"
54,35294995,我和我的父辈,6.5,274237,100573, 5.7%, 27.2%, 53.4%, 11.6%, 2.1%,"导演: 吴京 / 章子怡 / 徐峥 / 沈腾
主演: 吴京 / 章子怡 / 徐峥
类型: 剧情
制片国家/地区: 中国大陆
年份: 2021","14.77"
55,2131940,魔兽 Warcraft,7.7,317319,91876, 24.9%, 40.0%, 29.3%, 4.4%, 1.4%,"导演: 邓肯·琼斯
主演: 崔维斯·费米尔 / 托比·凯贝尔 / 宝拉·巴顿
类型: 动作 / 奇幻 / 冒险
制片国家/地区: 美国/中国大陆/加拿大/日本
年份: 2016","14.688"
56,10741834,复仇者联盟2：奥创纪元 Avengers: Age of Ultron,7.5,510774,105511, 20.1%, 41.9%, 32.9%, 4.2%, 0.9%,"导演: 乔斯·韦登
主演: 小罗伯特·唐尼 / 克里斯·海姆斯沃斯 / 马克·鲁弗洛
类型: 动作 / 科幻 / 奇幻 / 冒险
制片国家/地区: 美国
年份: 2015","14.64"
57,25964071,夏洛特烦恼,7.8,1015987,265113, 28.7%, 42.5%, 23.0%, 4.1%, 1.7%,"导演: 闫非 / 彭大魔
主演: 沈腾 / 马丽 / 尹正
类型: 喜剧 / 爱情
制片国家/地区: 中国大陆
年份: 2015","14.47"
