orderId,shouldCurId,movieName,rateValue(x/10),评价人数,短评数量,5星占比,4星占比,3星占比,2星占比,1星占比,description,额外信息
79,26336252,碟中谍6：全面瓦解 Mission: Impossible - Fallout,8.1,512261,139059, 27.3%, 50.9%, 19.9%, 1.6%, 0.3%,"导演: 克里斯托弗·麦奎里
主演: 汤姆·克鲁斯 / 亨利·卡维尔 / 文·瑞姆斯
类型: 动作 / 惊悚 / 冒险
制片国家/地区: 美国/中国大陆/法国/挪威/英国
年份: 2018","12.45"
80,25820460,美国队长3 Captain America: Civil War,7.9,465488,119226, 26.8%, 45.3%, 24.1%, 2.8%, 1.0%,"导演: 安东尼·罗素 / 乔·罗素
主演: 克里斯·埃文斯 / 小罗伯特·唐尼 / 斯嘉丽·约翰逊
类型: 动作 / 科幻
制片国家/地区: 美国
年份: 2016","12.439"
81,26613692,哥斯拉大战金刚 Godzilla vs Kong,6.3,297342,107811, 4.3%, 23.4%, 55.5%, 14.7%, 2.2%,"导演: 亚当·温加德
主演: 亚历山大·斯卡斯加德 / 米莉·波比·布朗 / 丽贝卡·豪尔
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国/澳大利亚/加拿大/印度
年份: 2021","12.32"
82,20495023,寻梦环游记 Coco,9.1,1748270,443087, 62.4%, 30.3%, 6.8%, 0.4%, 0.2%,"导演: 李·昂克里奇 / 阿德里安·莫利纳
主演: 安东尼·冈萨雷斯 / 盖尔·加西亚·贝纳尔 / 本杰明·布拉特
类型: 喜剧 / 动画 / 奇幻 / 音乐
制片国家/地区: 美国
年份: 2017","12.3"
83,25827963,西游记之孙悟空三打白骨精,5.6,146441,53916, 5.6%, 15.0%, 44.0%, 26.0%, 9.4%,"导演: 郑保瑞
主演: 郭富城 / 巩俐 / 冯绍峰
类型: 喜剧 / 动作 / 奇幻
制片国家/地区: 中国大陆/中国香港
年份: 2016","11.98"
84,32493124,悬崖之上,7.4,772655,251910, 11.6%, 49.8%, 34.2%, 3.7%, 0.7%,"导演: 张艺谋
主演: 张译 / 于和伟 / 秦海璐
类型: 剧情 / 动作 / 悬疑
制片国家/地区: 中国大陆/中国香港
年份: 2021","11.91"
85,25815034,湄公河行动,8,755166,186246, 28.1%, 45.9%, 22.5%, 2.9%, 0.7%,"导演: 林超贤
主演: 张涵予 / 彭于晏 / 孙淳
类型: 剧情 / 动作 / 犯罪
制片国家/地区: 中国大陆/中国香港
年份: 2016","11.86"
86,35653205,人生路不熟,5.8,230402,97253, 6.0%, 17.1%, 45.0%, 23.6%, 8.2%,"导演: 易小星
主演: 乔杉 / 范丞丞 / 马丽
类型: 剧情 / 喜剧
制片国家/地区: 中国大陆
年份: 2023","11.84"
87,26885074,叶问4：完结篇 葉問4：完結篇,6.8,295384,81272, 9.4%, 33.4%, 45.7%, 9.8%, 1.7%,"导演: 叶伟信
主演: 甄子丹 / 吴樾 / 吴建豪
类型: 剧情 / 动作
制片国家/地区: 中国大陆/中国香港
年份: 2019","11.81"
88,6311303,加勒比海盗5：死无对证 Pirates of the Caribbean: Dead Men Tell No Tales,7.2,374303,94096, 14.0%, 40.1%, 39.2%, 5.9%, 0.8%,"导演: 艾斯彭·山德伯格 / 乔阿吉姆·罗恩尼
主演: 约翰尼·德普 / 布伦顿·思韦茨 / 卡雅·斯考达里奥
类型: 动作 / 奇幻 / 冒险
制片国家/地区: 美国
年份: 2017","11.799"
89,6982558,长城 The Great Wall,4.9,407028,162497, 5.1%, 10.8%, 31.8%, 27.2%, 25.1%,"导演: 张艺谋
主演: 马特·达蒙 / 景甜 / 佩德罗·帕斯卡
类型: 动作 / 奇幻 / 冒险
制片国家/地区: 中国大陆/美国
年份: 2016","11.73"
