orderId,上映时间,影片名,导演,票房（万元）
195,2016,情圣（6.0）,宋晓飞,65845
197,2015,恶棍天使（3.9）,俞白眉 *,64923
198,2018,来电狂响（5.8）,于淼,64017
201,2014,后会无期（7.1）,韩寒,62975
203,2021,反贪风暴5：最终章（5.1）,林德禄,62893
204,2018,影（7.2）,张艺谋,62877
205,2019,新喜剧之王（5.7）,周星驰,62443
208,2023,学爸（7.0）,苏亮,61427
211,2011,金陵十三钗（8.2）,张艺谋,60923
214,2022,狙击手（7.6）,张艺谋*,60749
215,2016,使徒行者（6.9）,文伟鸿,60625
217,2018,李茶的姑妈（4.7）,吴昱翰,60415
218,2013,狄仁杰之神都龙王（6.5）,徐克,60273
220,2021,熊出没·狂野大陆（6.6）,丁亮 *,59655
226,2014,匆匆那年（5.6）,张一白,58454
227,2014,邪不压正（7.0）,姜文,58276
228,2021,白蛇2：青蛇劫起（7.3）,黄家康,58020
230,2016,追龙（7.2）,王晶 *,57465
232,2023,拯救嫌疑人（6.2）,张末,56947
234,2016,大鱼海棠（6.9）,梁旋 *,56520
235,2015,杀破狼2（7.4）,郑保瑞,56016
236,2011,龙门飞甲（6.8）,徐克,55596
237,2022,新神榜：杨戬（7.0）,赵霁,55550
238,2018,爱情公寓（3.2）,韦正,55472
239,2023,涉过愤怒的海（7.6）,曹保平,54913
240,2022,哥，你好（5.3）,张栾,54796
241,2015,战狼（6.9）,吴京,54389
242,2022,四海（5.6）,韩寒,54276
244,2013,中国合伙人（7.6）,陈可辛,53922
245,2020,除暴（6.3）,刘浩良,53777
247,2013,警察故事2013（5.8）,丁晟,53591
248,2017,三生三世十里桃花（4.0）,赵小丁 *,53453
250,2017,妖猫传（6.9）,陈凯歌,52998
251,2014,超能陆战队（8.7）,唐·霍尔 *,52726
252,2014,澳门风云（5.7）,王晶 *,52496
253,2017,熊出没之奇幻空间（6.4）,林永长 *,52277
254,2014,小时代3：刺金时代（4.6）,郭敬明,52241
255,2017,杀破狼·贪狼（7.1）,叶伟信,52157
256,2013,北京遇上西雅图（7.3）,薛晓路,51550
